center_lat,center_lon
30.5431863,-97.74931147
30.5476829,-97.74931147
30.5521795,-97.74931147
30.5566761,-97.74931147
30.53419309,-97.74409091
30.5386897,-97.74409091
30.5431863,-97.74409091
30.5476829,-97.74409091
30.5521795,-97.74409091
30.5566761,-97.74409091
30.53419309,-97.73887035
30.5386897,-97.73887035
30.5431863,-97.73887035
30.5476829,-97.73887035
30.5521795,-97.73887035
30.5566761,-97.73887035
30.53419309,-97.7336498
30.5386897,-97.7336498
30.5431863,-97.7336498
30.5476829,-97.7336498
30.5521795,-97.7336498
30.5566761,-97.7336498
30.53419309,-97.72842924
30.5386897,-97.72842924
30.5431863,-97.72842924
30.5476829,-97.72842924
30.5521795,-97.72842924
30.5566761,-97.72842924
30.53633466,-97.72093445
30.52509316,-97.73398462
30.52958976,-97.73398462
30.53408636,-97.73398462
30.53858296,-97.73398462
30.54307957,-97.73398462
30.54757617,-97.73398462
30.52509316,-97.72876455
30.52958976,-97.72876455
30.53408636,-97.72876455
30.53858296,-97.72876455
30.54307957,-97.72876455
30.54757617,-97.72876455
30.52509316,-97.72354448
30.52958976,-97.72354448
30.53408636,-97.72354448
30.53858296,-97.72354448
30.54307957,-97.72354448
30.54757617,-97.72354448
30.52509316,-97.71832442
30.52958976,-97.71832442
30.53408636,-97.71832442
30.53858296,-97.71832442
30.54307957,-97.71832442
30.54757617,-97.71832442
30.52509316,-97.71310435
30.52958976,-97.71310435
30.53408636,-97.71310435
30.53858296,-97.71310435
30.54307957,-97.71310435
30.54757617,-97.71310435
30.52509316,-97.70788428
30.52958976,-97.70788428
30.53408636,-97.70788428
30.53858296,-97.70788428
30.54307957,-97.70788428
30.54757617,-97.70788428
30.32107395,-97.98497267
30.30983245,-97.99799409
30.31432905,-97.99799409
30.31882565,-97.99799409
30.32332226,-97.99799409
30.32781886,-97.99799409
30.33231546,-97.99799409
30.30983245,-97.99278552
30.31432905,-97.99278552
30.31882565,-97.99278552
30.32332226,-97.99278552
30.32781886,-97.99278552
30.33231546,-97.99278552
